name,party_name,state,constituency
BHAILALBHAI KALUBHAI PANDAV,Bahujan Samaj Party,Gujarat,Kheda
KALLOLIKAR SHAMBHU KRISHNA,Independent,Karnataka,Chikkodi
CHAITARBHAI DAMJIBHAI VASAVA,Aam Aadmi Party,Gujarat,Bharuch
PEDDAPPA S,Independent,Karnataka,Davanagere
GIRIRAJ SINGH,Bharatiya Janata Party,Bihar,Begusarai
DINANATH CHANDRAVANSHI,Independent,Bihar,Khagaria
SAMEJ UDDIN,Bodoland Peoples Front,Assam,Barpeta
IMTIYAZ A. ATTAR,Independent,Karnataka,Shimoga
VIKAS UPADHYAY,Indian National Congress,Chhattisgarh,RAIPUR
YADVENDRA RAO DESHRAJ SINGH,Indian National Congress,Madhya Pradesh,GUNA
DIPIKA BAURI,Independent,West Bengal,Asansol
SHEKHAR BANJARE,Independent,Chhattisgarh,BILASPUR
MANJUNATHA GOSAL,Prahar Janshakti Party,Karnataka,Bellary
MAHABUB BASHA,Independent,Karnataka,Davanagere
BABU SINGH,Sajag Samaj Party,Madhya Pradesh,RAJGARH
NARESH PAL,Jan Sangh Party,West Bengal,Maldaha Uttar
SHRI MULSHANKARBHAI RAGHURAMBHAI CHAUHAN,Independent,Gujarat,Bhavnagar
ARYANRAJE KISANRAO SHINDE,Independent,Maharashtra,Osmanabad
VENKATESH PRASAD. H,Indian Labour Party (Ambedkar Phule),Karnataka,Dharwad
SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,Madhya Pradesh,VIDISHA
MAHEMUDBHAI SAIYAD,Independent,Gujarat,Porbandar
SHAMLIA VIRJI CHAKU,Hindvi Swarajyay Dal,Gujarat,Kachchh
AR NENA PREM READY RIPEEKA,Independent,Telangana,Warangal
ABDUL TAHIR ADVOCATE (BABLU RAJNIKANT)  S/O SAEED PAHELWAN ANSARI,Bahujan Maha Party,Madhya Pradesh,BHOPAL
RAJANDARA BALASO KOLI,Independent,Maharashtra,Kolhapur
VIJAYSINH PRAVINSINH JADEJA,Independent,Gujarat,Jamnagar
MANOJSINH RANAJITSINH RATHOD,Independent,Gujarat,Panchmahal
DEEPKUMAR D MAPARI,Independent,Goa,South Goa
CHETANKUMAR KESHAVLAL OZA,Independent,Gujarat,Banaskantha
DEVENDRABHAI DHANJIBHAI MOTIVARAS,Independent,Gujarat,Junagadh
SEEMA SUNIL POTDAR,Independent,Maharashtra,Satara
ABDULKUDDUS,Independent,Gujarat,Patan
TASLIM MOHAMMEDRAFIK DURVESH,Independent,Gujarat,Panchmahal
RUDRAPPA BASAPPA KUMBAR,Independent,Karnataka,Haveri
BARRE SREENIVASARAO (JAI BHEEM SRINIVAS),Telugu Rajadhikara Samiti Party,Andhra Pradesh,Vijayawada
RAJENDRA PRASAD KUSHWAH,Independent,Madhya Pradesh,MORENA
REKHA SHAKYA,Independent,Madhya Pradesh,BHIND
GAJENDRA SINGH,Independent,Madhya Pradesh,GWALIOR
SAIYAD KADARI MOHAMMAD SABIR ANVAR HUSAIN,Bhartiya Jan Nayak Party,Gujarat,Kheda
HIRA NAND NAGWANI (ASHOK BHAIYA),Republican Party of India (A),Chhattisgarh,RAIPUR
SUNITA PAWAR,Independent,Maharashtra,Baramati
SUDIEP SHRIVASTAVA,Hamar Raj Party,Chhattisgarh,BILASPUR
MANGESH JAYSINGH PATIL,Independent,Maharashtra,Kolhapur
RADHARANI BISWAS,Hindu Samaj Party,Assam,Dhubri
VASAVA CHETANBHAI KANJIBHAI,Bahujan Samaj Party,Gujarat,Bharuch
MAMTA RANI SAHU,Bahujan Samaj Party,Chhattisgarh,RAIPUR
HITENDRA SHAHARE (BABA),Independent,Madhya Pradesh,BHOPAL
AYNAL HAQUE,Independent,Assam,Barpeta
BHOI ASHISHKUMAR THAKORBHAI,Independent,Gujarat,Anand
NARESHBHAI NARANBHAI RATHOD,Independent,Gujarat,Bhavnagar
SIDDIK IBRAHIM BAUDIWALE ALIAS GOLABHAI,All India Majlis-E-Ittehadul Muslimeen,Maharashtra,Osmanabad
UMESHBHAI NARANBHAI MAKWANA,Aam Aadmi Party,Gujarat,Bhavnagar
RAHUL ARJUN HORE,Independent,Maharashtra,Shirur
RAJKUMAR SAHEBRAO PATIL,Independent,Maharashtra,Osmanabad
SHIV PRASAD YADAV,Bahujan Samaj Party,Uttar Pradesh,Mainpuri
RAVINDER SINGH,Independent,Jammu and Kashmir,ANANTNAG-RAJOURI
YASIN SHIRAJUDDIN PATAKI,Independent,Karnataka,Chikkodi
ASHOK PALAJIBHAI RATHOD,Independent,Gujarat,Surendranagar
DEVASHISH JARARIYA,Bahujan Samaj Party,Madhya Pradesh,BHIND
SHARANAPPA MALLAPPA KOTLANNAVAR,Independent,Karnataka,Bagalkot
CHANDU NAYAK MEGAVATH,Independent,Telangana,Bhongir
ANANDBHAI PACHANBHAI RATHOD,Independent,Gujarat,Surendranagar
JAYSUKH NATHUBHAI PINGALSUR,Bahujan Samaj Party,Gujarat,Jamnagar
VADHER DANSING CHINABHAI,Independent,Gujarat,Junagadh
PATEL PIYUSHBHAI KARSHANBHAI,Bharatiya Yuva Jan Ekta Party,Gujarat,Banaskantha
ADV. YASH SUHAS HEGDEPATIL,Independent,Maharashtra,Kolhapur
DAVARI LAXMAN SHRIPATI,Independent,Maharashtra,Hatkanangale
C R PATIL,Bharatiya Janata Party,Gujarat,Navsari
ROHIDAS BALASO KONDAKE,Bahujan Republican  Socialist Party,Maharashtra,Baramati
SHAIKH TOUSIF ABDUL SATTAR,Independent,Maharashtra,Beed
SACHIN SUBHASH MAHAJAN,Independent,Maharashtra,Satara
AMIT CHAVDA,Indian National Congress,Gujarat,Anand
SANUAR ALI,Bharatheeya Jawan Kisan Party,West Bengal,Jangipur
MOHAMMAD MAQBOOL TELI,Garib Democratic Party,Jammu and Kashmir,ANANTNAG-RAJOURI
ROSHAN KUMAR,Independent,Chhattisgarh,BILASPUR
S. NARASANNA GOUDA NAYAKA,Bahujan Samaj Party,Karnataka,Raichur
KESHAV PRASAD,Independent,Chhattisgarh,BILASPUR
NITIN MOHAN,Independent,Uttar Pradesh,Bareilly
MUNESH NAGAR,Vikas India Party,Madhya Pradesh,GWALIOR
SUDARSHAN SINGH,National Awami United Party,Jammu and Kashmir,ANANTNAG-RAJOURI
SHARAD RAM PAWAR,Independent,Maharashtra,Baramati
PATANI VISHNUBHAI NATAVARBHAI,Independent,Gujarat,Ahmedabad East
ADV.SWAPNIL BHAUSAHEB SHELAR,Independent,Maharashtra,Shirur
BISWAJIT RAY,Independent,Assam,Dhubri
DILIPBHAI CHHOTUBHAI VASAVA,Bharat Adivasi Party,Gujarat,Bharuch
BRIJMOHAN AGRAWAL,Bharatiya Janata Party,Chhattisgarh,RAIPUR
KRISHNA NANDAN SINGH,Independent,Chhattisgarh,BILASPUR
JOHNSON VASANT KOLHAPURE,Independent,Maharashtra,Pune
KOPPULA RAJU,Indian National Congress,Andhra Pradesh,Nellore
KUDARTULLA ADAM LATIF,Independent,Maharashtra,Kolhapur
DILIP KUMAR PANDITA,Independent,Jammu and Kashmir,ANANTNAG-RAJOURI
AJAY KUMAR SAH,Independent,Bihar,Supaul
KISAN LAL AHIRWAR,Independent,Madhya Pradesh,GUNA
ANANTKUMAR HASMUKHBHAI PATEL,Indian National Congress,Gujarat,Valsad
BISWAJIT RAY,Independent,Assam,Dhubri
BHAI MUNSHILAL SILAWAT,Public Political Party,Madhya Pradesh,VIDISHA
SUNDAR,Independent,Karnataka,Gulbarga
GORE NETAJI NAGNATH,Independent,Maharashtra,Osmanabad
CHANDRAHAR SUBHASH PATIL,ShivSena (Uddhav Balasaheb Thackeray),Maharashtra,Sangli
VISHAL ARUN PAWAR,Independent,Maharashtra,Baramati
RAJKUMAR SAHEBRAO PATIL,Independent,Maharashtra,Osmanabad
KALYANI SUJITKUMAR WAGHMODE,Independent,Maharashtra,Baramati
VIJAY S METHRANI,Independent,Karnataka,Belgaum
SHARMA RAKESHBHAI,Rashtriya Samaj Paksha,Gujarat,Patan
SANJAY PRAKASH SAHU,Independent,Chhattisgarh,BILASPUR
ADV. VISHVJEET VIJAYKUMAR SHINDE,Independent,Maharashtra,Osmanabad
KIRAN TANAJI SATHE,Independent,Maharashtra,Madha
JAGANNATH RAY,Independent,Assam,Barpeta
KAZI NEKIB  AHMED,Independent,Assam,Guwahati
ADV. VISHVJEET VIJAYKUMAR SHINDE,Independent,Maharashtra,Osmanabad
NAGAJYOTI.B.N.,Socialist Unity Centre Of India (COMMUNIST),Karnataka,Bijapur
BORICHANGAR BHAVESH DALPATRAI,Independent,Gujarat,Junagadh
SANJAYKUMAR BHAGWAT WAGHMARE,Bahujan Samaj Party,Maharashtra,Osmanabad
SUDARSHAN RAYCHAND KHANDARE,Independent,Maharashtra,Solapur
RAJIB CHATTERJEE,Bhartiya Lokmat Rashtrwadi Party,West Bengal,Jangipur
RAMCHARAN PIRJAPATI,Lok Samaj Party,Madhya Pradesh,RAJGARH
RAMJI THAKOR,Indian National Congress,Gujarat,Mahesana
ZIA UR REHMAN,Samajwadi Party,Uttar Pradesh,Sambhal
PRADEEP RAMCHANDRA MANE,Independent,Maharashtra,Baramati
AR NENA PREM READY RIPEEKA,Mana Telangana Rashtra Samaikya Party,Telangana,Warangal
MAHADEV PATIL,Independent,Karnataka,Belgaum
GORE NETAJI NAGNATH,Desh Janhit Party,Maharashtra,Osmanabad
GITABEN MANUBHAI MACHHI,Malwa Congress,Gujarat,Bharuch
VIJAY JADHAV,Karnataka Rashtra Samithi,Karnataka,Gulbarga
DAMOR VESTABHAI JOKHANABHAI,Independent,Gujarat,Dahod
ADV. BHAUSAHEB ANIL BELURE,Independent,Maharashtra,Osmanabad
ADVOCATE MUKESH KUMAR KORI,Independent,Madhya Pradesh,GWALIOR
CHANDRA BHUSAN SINGH BUNDELA 'GUDDU RAJA',Indian National Congress,Madhya Pradesh,SAGAR
MAHADHEV SWAMI MATAM,Independent,Telangana,Zahirabad
MILIND VITTHAL SHINDE,Independent,Maharashtra,Baramati
P. SRIPATHI. BHAT,Independent,Karnataka,Shimoga
AMIT SHRIPAL KAWADE,Independent,Maharashtra,Raigad
CHAUHAN PRAKASHKUMAR TRIBHOVANDAS,Akhila Vijaya Party,Gujarat,Mahesana
RAJESH MISHRA,Independent,Telangana,Malkajgiri
JAGANNATH RAY,Independent,Assam,Barpeta
KAKARLA SHANMUKHA REDDY,Independent,Andhra Pradesh,Kadapa
YUSUF VALI HASANALI,Independent,Gujarat,Bharuch
SURESH CHANDRA,Independent,Uttar Pradesh,Mainpuri
VINAYAK DHAMGAYE,Independent,Chhattisgarh,RAIPUR
KATARA VARUNKUMAR KALYANSINH,Gunj Satya Ni Janata Party,Gujarat,Sabarkantha
KAKA FULCHAND KAMBLE,Independent,Maharashtra,Osmanabad
RAJENDRA PANDURANG BHOSALE,People’s Union Party,Maharashtra,Baramati
BAMBAM KUMAR,Independent,Bihar,Supaul
JAGADISH YALLAPPA BANKAPURA,Independent,Karnataka,Haveri
SANTOSH SHARMA,Independent,Chhattisgarh,KORBA
SUBHASH BARMAN,Kamatapur People’s Party (United),West Bengal,Maldaha Uttar
NITIN NAGNATH GAIKWAD,Independent,Maharashtra,Osmanabad
VILAS BHAGWAT GHADGE,Independent,Maharashtra,Osmanabad
JANKAR SWARUP DADA,Bahujan Samaj Party,Maharashtra,Madha
ANDHALKAR BHAUSAHEB RAOSAHEB,Independent,Maharashtra,Osmanabad
SHRIDHAR NARAYAN SALVE,Bhim Sena,Maharashtra,Baramati
RAKESH DHAKAD,Independent,Madhya Pradesh,GWALIOR
BANKAPUR SHOUKATALI,Tipu Sultan Party,Karnataka,Dharwad
AMARNATH CHOWDHURY,Socialist Unity Centre Of India (COMMUNIST),West Bengal,Asansol
MIRZA AABIDBEG YASINBEG,Independent,Gujarat,Bharuch
RAMKRISHNA VERMA,Independent,Chhattisgarh,RAIPUR
BHAVNABA NARENDRASINH PARMAR,Independent,Gujarat,Sabarkantha
RAJKUMAR SAHU,Independent,Chhattisgarh,BILASPUR
DR. SOMNATH ALIAS BALASAHEB ARJUN POL,Independent,Maharashtra,Baramati
PROF DR ARJUN GENA OHOL,Bahujan Mukti Party,Maharashtra,Solapur
RAVI SIRWAIYA,Independent,Madhya Pradesh,INDORE
DATTATRAY PANDIT PATIL,Independent,Maharashtra,Sangli
TRIPTINA RABHA,Independent,Assam,Kokrajhar
RACHA SUBHADRA REDDY,Socialist Party (India),Telangana,Bhongir
RATHOD CHANDUBHAI MOHANBHAI,Independent,Gujarat,Porbandar
MD ARSHAD HUSSAIN,Bahujan Samaj Party,Bihar,Madhepura
UMESH MAHADEV MHETRE,Independent,Maharashtra,Baramati
ENGI. BHANU PRATAP TANDE,Independent,Chhattisgarh,RAIPUR
SAJID YAKUB MUNSHI,Independent,Gujarat,Bharuch
BASANT BANSL,Independent,Chhattisgarh,BILASPUR
SHARAD BABURAO PATIL,National Black Panther Party,Maharashtra,Hatkanangale
MAHUA MOITRA,All India Trinamool Congress,West Bengal,Krishnanagar
BALASO MARUTI DHAPATE,Independent,Maharashtra,Baramati
SHAMRAO HARIBHAU PAWAR,Samnak Janta Party,Maharashtra,Osmanabad
BASAVARAJ BOMMAI,Bharatiya Janata Party,Karnataka,Haveri
AVINASH. NARAYAN. PATIL.,Independent,Karnataka,Uttara Kannada
TRIPTINA RABHA,Independent,Assam,Kokrajhar
ABDULAZIZ KALADAGI PENDARI,Independent,Karnataka,Bagalkot
YALLAMMA DALAPATHI,Independent,Karnataka,Raichur
DOSHI HARDIK BIPINBHAI,Satyawadi Rakshak Party,Gujarat,Vadodara
GAJANAND KUSHWAH,Independent,Madhya Pradesh,GUNA
BHUPATBHAI MOHANBHAI VALA,Right to Recall Party,Gujarat,Bhavnagar
D.S. ESHWARAPPA,Independent,Karnataka,Shimoga
VIABHAV MISHRA,Bhartiya Shakti Chetna Party,Uttar Pradesh,Etah
SULEMAN,Swaraj Bhartiya Nyay Party,Uttar Pradesh,Badaun
SADEK IBRAHIM SHAIKH,Independent,Maharashtra,Beed
ADV. JORE SACHIN BHASKAR,Independent,Maharashtra,Madha
PRASHANT DANIEL,Sarv Adi Dal,Chhattisgarh,KORBA
SAMAD CHOUDHURY,Bharatiya Gana Parishad,Assam,Guwahati
ADV. YOGESH MAKANE,Independent,Maharashtra,Pune
SONDI KRISHNA.,Independent,Andhra Pradesh,Visakhapatnam
PRAKASH SHIVAJIRAO SHENDGE,Independent,Maharashtra,Sangli
MAHADHEV SWAMI MATAM,Independent,Telangana,Zahirabad
DILIPBHAI PARSHOTTAMBHAI MAKWANA,New India United Party,Gujarat,Surendranagar
MUSLIM KHAN,Bahujan Samaj Party,Uttar Pradesh,Badaun
SHIV HARI AGRAWAL,Bharat Nirman Party,Bihar,Supaul
AWARE SIDDHESHWAR BHARAT,All India Forward Bloc,Maharashtra,Madha
BAGAL SADASHIV SAHEBRAO,Independent,Maharashtra,Satara
MAHANDRA SINGH,Independent,Uttar Pradesh,Sambhal
MANE ARVIND BHIVA,Independent,Maharashtra,Hatkanangale
UDAY KUMAR RATHIA,Independent,Chhattisgarh,RAIGARH
PADMA RAO . T,Bharat Rashtra Samithi,Telangana,Secunderabad
HEMANT SINGH KUSHWAHA,Independent,Madhya Pradesh,GUNA
MD GHOUSUL AZAM,Bahujan Samaj Party,Bihar,Araria
ANILESH MISHRA (MAHARAJ),Independent,Chhattisgarh,BILASPUR
ASADI VENKATADRI,Independent,Andhra Pradesh,Rajampet
SOMANATH BEHERA,Socialist Unity Centre Of India (COMMUNIST),Odisha,Berhampur
PRATIBHA SHELAR,Independent,Maharashtra,Satara
MALLEPOGU NAGANNA,Socialist Unity Centre Of India (COMMUNIST),Andhra Pradesh,Kurnoolu
G.M.GAYITRI SIDDESHI,Independent,Karnataka,Davanagere
SUMAN KUMAR MAHASETH,Vikassheel Insaan Party,Bihar,Jhanjharpur
VINAYAK BHAURAO RAUT,Shiv Sena (Uddhav Balasaheb Thackeray),Maharashtra,Ratnagiri- Sindhudurg
HARINDER REDDY MALLELA,Independent,Telangana,Mahbubnagar
IMRAN SHEIKH,Independent,Jammu and Kashmir,ANANTNAG-RAJOURI
ABUL KALAM AZAD,All India Trinamool Congress,Assam,Barpeta
DABHI  BHARATSINHJI  SHANKARJI,Bharatiya Janata Party,Gujarat,Patan
ANAND RAMESH THORWADE,Bahujan Samaj Party,Maharashtra,Satara
ALIK KUMAR KUNDU,Independent,West Bengal,Krishnanagar
RAJ KUMAR YADAV,Viro Ke Vir Indian Party,Bihar,Supaul
PARBHUBHAI NAGARBHAI VASAVA,Bharatiya Janata Party,Gujarat,Bardoli
MANE ARVIND BHIVA,Independent,Maharashtra,Hatkanangale
ANILESH MISHRA (MAHARAJ),Independent,Chhattisgarh,BILASPUR
SOMNATH NANASAHEB KAMBLE,Independent,Maharashtra,Osmanabad
NILKANTHKUMAR MANSUKHLAL MISTRI,Independent,Gujarat,Vadodara
HARIBHAI PATEL,Bharatiya Janata Party,Gujarat,Mahesana
KRISHNA PROSAD BISWAS,Independent,West Bengal,Murshidabad
NEERAJ CHANDSORIYA,Aazad Samaj Party (Kanshi Ram),Madhya Pradesh,MORENA
S. M. MARIGOUDAR,Desh Prem Party,Karnataka,Bagalkot
MAITHILI SHARAN GUPTA,Independent,Madhya Pradesh,BHOPAL
KAMPA BORGOYARI,Bodoland Peoples Front,Assam,Kokrajhar
RAKESH,Independent,Madhya Pradesh,GUNA
BADAL EKKA,Sarv Adi Dal,Chhattisgarh,RAIGARH
DR RAMESHWAR SINGH,Independent,Uttar Pradesh,Fatehpur Sikri
JOSEPH KISKU,Ambedkarite Party of India,West Bengal,Maldaha Uttar
ASHISH KUMAR TIWARI,Aap Sabki Apni Party,Chhattisgarh,RAIPUR
JAVED SIKANDAR MUJAVAR,Independent,Maharashtra,Hatkanangale
SUNEEL BHEEL,Independent,Madhya Pradesh,RAJGARH
DR. HEMANG JOSHI,Bharatiya Janata Party,Gujarat,Vadodara
DA KUMAR CHANDRADEEP,Rashtriya Janata Dal,Bihar,Madhepura
SHEJON GOYARY,Bahujan Maha Party,Assam,Guwahati
PITAMBAR JANGDE,Aazad Samaj Party (Kanshi Ram),Chhattisgarh,RAIPUR
G. SWAMY,Navabharath Sena,Karnataka,Bellary
RATHOD MAVJI BHEMAJI,Independent,Gujarat,Banaskantha
SUSHIL KUMAR SHARMA,Independent,Jammu and Kashmir,ANANTNAG-RAJOURI
D.S. CHAUHAN (ADVOCATE),Rashtriya Samaj Paksha,Madhya Pradesh,GUNA
SAMEERSINGH RAMESHCHANDRA SALVI,Independent,Maharashtra,Osmanabad
KAMAL DEV,Bhartiya Shakti Chetna Party,Chhattisgarh,KORBA
AYSHA BI,Independent,Uttar Pradesh,Bareilly
CHAPPIDI RAMU,Independent,Andhra Pradesh,Visakhapatnam
RAJNATH SARKAR,Bahujan Samaj Party,West Bengal,Birbhum
DINESH KUMAR,Independent,Uttar Pradesh,Badaun
PREMCHANDRA HARIJAN,Sardar Patel Siddhant Party,Uttar Pradesh,Shahjahanpur
CHALIKA CHANDRA SEKHAR,Independent,Telangana,Secunderabad
KETAN DAHYABHAI PATEL,Indian National Congress,Dadra and Nagar Haveli and Daman and Diu,Daman and Diu
E.H. NAYAK,Independent,Karnataka,Shimoga
SURESH GOVINDRAO SHINDE,Sainik Samaj Party,Maharashtra,Ratnagiri- Sindhudurg
PATEL MANUBHAI SHANKARLAL,Independent,Gujarat,Mahesana
MOHD NAJIM ALI,Bharat Jodo Party,Uttar Pradesh,Bareilly
MUDIT CHAURASIA,Independent,Madhya Pradesh,BHOPAL
ANUPAM KUMAR,Kisan Kranti Dal,Uttar Pradesh,Etah
BHARAT PAL,Aazad Samaj Party (Kanshi Ram),Madhya Pradesh,GWALIOR
SACHIN SHAHU MASKE,Independent,Maharashtra,Solapur
SUKHRAMBHAI HARIYABHAI RATHWA,Indian National Congress,Gujarat,Chhota Udaipur
PRAVEEN SINGH ARON,Samajwadi Party,Uttar Pradesh,Bareilly
MAHASIDDHA TUKARAM GAYAKWAD,Independent,Maharashtra,Solapur
GEETHA SHIVARAJKUMAR,Indian National Congress,Karnataka,Shimoga
KADIR MAHEBOOB SAIYED,Social Democratic Party Of India,Gujarat,Navsari
DEVENDRA YADAV,Indian National Congress,Chhattisgarh,BILASPUR
MARUTI DHONDIRAM JANKAR,Independent,Maharashtra,Satara
HANUMANT NARAYAN MANE,Independent,Maharashtra,Madha
BIJULI KALITA  MEDHI,Bharatiya Janata Party,Assam,Guwahati
RAMZANBEE,All India Ulama Congress,Karnataka,Koppal
SHIVMANGAL SINGH TOMAR,Bharatiya Janata Party,Madhya Pradesh,MORENA
B . SUNITHA RANI,Socialist Party (India),Telangana,Secunderabad
UMESHBHAI MAGANBHAI PATEL,Bahujan Republican  Socialist Party,Gujarat,Valsad
VINAYAK LAVU RAUT,Independent,Maharashtra,Ratnagiri- Sindhudurg
PIYUSH BRAJESH RAJORIYA,Independent,Madhya Pradesh,MORENA
KAKASAHEB SANDIPAN KHOT,Independent,Maharashtra,Osmanabad
ABHAY KUMAR EKKA,Independent,Chhattisgarh,RAIGARH
ANJALI MONU RAWAT,Parivartan Party of India,Madhya Pradesh,GWALIOR
JASHUBHAI BHILUBHAI RATHVA,Bharatiya Janata Party,Gujarat,Chhota Udaipur
SAGAR ESHWAR KHANDRE,Indian National Congress,Karnataka,Bidar
ADVOCATE SHAILENDRA BANJARE (SHAKTIPUTRA),Shakti Sena (Bharat Desh),Chhattisgarh,JANJGIR-CHAMPA
DHANIRAM CHAUDHARY,Bahujan Samaj Party,Madhya Pradesh,GUNA
RAJKUMAR CHAHAR,Bharatiya Janata Party,Uttar Pradesh,Fatehpur Sikri
BINITA DEKA,Gana Suraksha Party,Assam,Kokrajhar
KAMBLE RAVINDRA TUKARAM,Bahujan Samaj Party,Maharashtra,Hatkanangale
MANE ARVIND BHIVA,Bhartiya Rashtriya Dal,Maharashtra,Kolhapur
SANJAY KUMAR SAROJ,Manav Samadhan Party,Madhya Pradesh,BHOPAL
PURUSHOTTAM MANIKPURI,Independent,Chhattisgarh,KORBA
PAVAN KUMAR,Log Party,Uttar Pradesh,Sambhal
AHIRWAR RAJKUMAR THEKEDAAR,Independent,Madhya Pradesh,SAGAR
DR. SHARMILA SARKAR,All India Trinamool Congress,West Bengal,Bardhaman Purba
MUDIT BHATNAGAR,Socialist Unity Centre Of India (COMMUNIST),Madhya Pradesh,BHOPAL
RAJESH KEER,Independent,Madhya Pradesh,BHOPAL
ADV AJAY UPADHYE,Independent,Maharashtra,Raigad
JEROME MINJ,Bharat Adivasi Party,Chhattisgarh,SURGUJA
AAYARE RAJENDRA LAHU,Bahujan Samaj Party,Maharashtra,Ratnagiri- Sindhudurg
ER. MAHENDRA PRATAP SINGH PAL,Independent,Madhya Pradesh,GWALIOR
THAKOR INDIRABEN JITENDRASINH,Insaniyat Party,Gujarat,Sabarkantha
SHASHIKANT JAYVANTRAO SHINDE,Nationalist Congress Party – Sharadchandra Pawar,Maharashtra,Satara
KINNERA YADAIAH,Independent,Telangana,Nalgonda
YASHUTOSH LAHARE,Ambedkarite Party of India,Chhattisgarh,RAIPUR
MANE ARVIND BHIVA,Independent,Maharashtra,Kolhapur
VIJAYLAXMI SURYAWANSHI NAT,Asankhya Samaj Party,Chhattisgarh,JANJGIR-CHAMPA
DR. MENKA DEVI SINGH,Indian National Congress,Chhattisgarh,RAIGARH
SODHA SANJAYKUMAR PARVATSINH,Independent,Gujarat,Kheda
PARMAR RAMESHCHANDRA NANJIBHAI,Bahujan Samaj Party,Gujarat,Sabarkantha
MAHENDRA JAIN BHAIYAN,Independent,Madhya Pradesh,GUNA
DR. ROHIT DAHARIA,Bahujan Samaj Party,Chhattisgarh,JANJGIR-CHAMPA
S P K  SAGAR,Independent,Telangana,Warangal
MAHESH YASHWANT KHARADE,Swabhimani Paksha,Maharashtra,Sangli
IMTIYAZ AHMAD,National Loktantrik Party,Jammu and Kashmir,ANANTNAG-RAJOURI
BANNA. RAMESH,Dalita Bahujana Party,Andhra Pradesh,Visakhapatnam
G.M.BARKATH ALI BASHA,Independent,Karnataka,Davanagere
SHAIKH NAUSHAD IQBAL,Swarajya Shakti Sena,Maharashtra,Osmanabad
BOMMALA VIJAY KUMAR,Independent,Telangana,Medak
UDAY VEER SINGH,Peoples Party of India (Democratic),Uttar Pradesh,Etah
SONU KUMAR,Independent,Bihar,Khagaria
MD. MOBINUL HAQUE,Independent,Bihar,Araria
DR MANIK CHANDRA PRODHAN,Bahujan Samaj Party,West Bengal,Bolpur
SHEKH RAUF,Independent,Chhattisgarh,KORBA
DURGA PALVANCHA,Independent,Telangana,Mahabubabad
SANTOSH KUMAR MARKANDE,Independent,Chhattisgarh,DURG
GOPAL M.P. GARAMPALLI,Independent,Karnataka,Bidar
BARIYA MANILAL HIRABHAI,Independent,Gujarat,Dahod
MO. AMIN,Bhrashtachar Mukti Morcha,Chhattisgarh,RAIPUR
MUKUL BISWAS,Bahujan Samaj Party,West Bengal,Bardhaman Purba
JAYVEER SINGH,Bharatiya Janata Party,Uttar Pradesh,Mainpuri
TADVI RANCHHODBHAI,Bharatiya Bahujan Congress,Gujarat,Chhota Udaipur
RAPELLY SRINIVAS,Independent,Telangana,Nizamabad
RUPAM DEVI,Independent,Bihar,Khagaria
P.CHOWDESWARI,Independent,Andhra Pradesh,Ananthapur
MUTTAPPA MUDAKAPPA HIREKUMBI,Raita Bharat Party,Karnataka,Bagalkot
PRITESH CHAUHAN (LALU),Independent,Gujarat,Amreli
INGOLE ROOPESHBHAI BABUBHAI,Independent,Gujarat,Ahmedabad East
MARUTI RAMACHANDRA JOSHI,Vanchit Bahujan  Aaghadi,Maharashtra,Ratnagiri- Sindhudurg
BAIDYA NATH MEHTA,Independent,Bihar,Supaul
PARAS RAM YADAV,Independent,Chhattisgarh,BILASPUR
ENGINEER REVA KURREY,Independent,Chhattisgarh,JANJGIR-CHAMPA
KAMBLE TRISHALA,Bahujan Samaj Party  (Ambedkar),Maharashtra,Baramati
KRUSHNABAI DIPAK CHOUGALE,Independent,Maharashtra,Kolhapur
ALI MOHAMMAD WANI,Independent,Jammu and Kashmir,ANANTNAG-RAJOURI
ENGINEER REVA KURREY,Independent,Chhattisgarh,JANJGIR-CHAMPA
BAIDYA NATH MEHTA,Independent,Bihar,Supaul
RASHEEDA BEGUM,Indian Movement Party,Karnataka,Haveri
RAM VITTHAL SATPUTE,Bharatiya Janata Party,Maharashtra,Solapur
SAKIL LATIF KHAN,Independent,Dadra and Nagar Haveli and Daman and Diu,Daman and Diu
JASVEER VALMIKI,Samajwadi Party,Uttar Pradesh,Hathras
SHRI TIDABHAI DEVSHIBHAI,Gujarat Sarva Samaj Party,Gujarat,Bhavnagar
JAGPAL SINGH YADAV,Samrat Mihir Bhoj Samaj Party,Uttar Pradesh,Bareilly
BAIDYA NATH MEHTA,Independent,Bihar,Supaul
ABDUL RAJAK SHAIK,Independent,Andhra Pradesh,Narsaraopet
RAMADHAR SINGH,Independent,Chhattisgarh,SURGUJA
MAHESH KUMAR SONWANI,Independent,Chhattisgarh,BILASPUR
KIRAN DEVI,Bahujan Samaj Party,Bihar,Supaul
CHINTA MOHAN,Indian National Congress,Andhra Pradesh,Thirupathi(SC)
NAISHADHBHAI BHUPATBHAI  DESAI,Indian National Congress,Gujarat,Navsari
MUSTAKBHAI JAMALBHAI SANGHANI,Independent,Gujarat,Sabarkantha
PATEL UMESHBHAI BABUBHAI,Independent,Dadra and Nagar Haveli and Daman and Diu,Daman and Diu
SHRIKANT MALHWAYR (KASER),Loktantra Congress Party,Chhattisgarh,BILASPUR
RODMAL NAGAR,Bharatiya Janata Party,Madhya Pradesh,RAJGARH
